SNo,Local Government Area,State,Delivery Days,Delivery Fee
369,Isoko South,Delta State,3,3000
370,Isu,Imo State,5,6000
371,Isuikwuato,Abia State,5,6000
372,Itas/Gadau,Bauchi State,5,6000
373,Itesiwaju,Oyo State,1,1000
374,Itu,Akwa Ibom State,5,6000
375,Ivo,Ebonyi State,5,6000
376,Iwajowa,Oyo State,1,1000
377,Iwo,Osun State,3,3000
378,Izzi,Ebonyi State,5,6000
379,Jaba,Kaduna State,5,6000
380,Jada,Adamawa State,5,6000
381,Jahun,Jigawa State,5,6000
382,Jakusko,Yobe State,5,6000
383,Jalingo,Taraba State,5,6000
384,Jama'are,Bauchi State,5,6000
385,Jega,Kebbi State,5,6000
386,Jema'a,Kaduna State,5,6000
387,Jere,Borno State,5,6000
388,Jibia,Katsina State,5,6000
389,Jos East,Plateau State,5,6000
390,Jos North,Plateau State,5,6000
391,Jos South,Plateau State,5,6000
392,Kabba/Bunu,Kogi State,3,3000
393,Kabo,Kano State,5,6000
394,Kachia,Kaduna State,5,6000
395,Kaduna North,Kaduna State,5,6000
396,Kaduna South,Kaduna State,5,6000
397,Kafin Hausa,Jigawa State,5,6000
398,Kafur,Katsina State,5,6000
399,Kaga,Borno State,5,6000
400,Kagarko,Kaduna State,5,6000
401,Kaiama,Kwara State,3,3000
402,Kaita,Katsina State,5,6000
403,Kajola,Oyo State,1,1000
404,Kajuru,Kaduna State,5,6000
405,Kala/Balge,Borno State,5,6000
406,Kalgo,Kebbi State,5,6000
407,Kaltungo,Gombe State,5,6000
408,Kanam,Plateau State,5,6000
409,Kankara,Katsina State,5,6000
410,Kanke,Plateau State,5,6000
411,Kankia,Katsina State,5,6000
412,Kano Municipal,Kano State,5,6000
413,Karasuwa,Yobe State,5,6000
414,Karaye,Kano State,5,6000
415,Karim Lamido,Taraba State,5,6000
416,Karu,Nasarawa State,5,6000
417,Katagum,Bauchi State,5,6000
418,Katcha,Niger State,5,6000
419,Katsina,Katsina State,5,6000
420,Katsina-Ala,Benue State,5,6000
421,Kaura,Kaduna State,5,6000
422,Kaura Namoda,Zamfara State,5,6000
423,Kauru,Kaduna State,5,6000
424,Kazaure,Jigawa State,5,6000
425,Keana,Nasarawa State,5,6000
426,Kebbe,Sokoto State,5,6000
427,Keffi,Nasarawa State,5,6000
428,Khana,Rivers State,5,6000
429,Kibiya,Kano State,5,6000
430,Kirfi,Bauchi State,5,6000
431,Kiri Kasama,Jigawa State,5,6000
432,Kiru,Kano State,5,6000
433,Kiyawa,Jigawa State,5,6000
434,Kogi,Kogi State,3,3000
435,Koko/Besse,Kebbi State,5,6000
436,Kokona,Nasarawa State,5,6000
437,Kolokuma/Opokuma,Bayelsa State,5,6000
438,Konduga,Borno State,5,6000
439,Konshisha,Benue State,5,6000
440,Kontagora,Niger State,5,6000
441,Kosofe,Lagos State,3,3000
442,Kaugama,Jigawa State,5,6000
443,Kubau,Kaduna State,5,6000
444,Kudan,Kaduna State,5,6000
445,Kuje,FCT,3,3000
446,Kukawa,Borno State,5,6000
447,Kumbotso,Kano State,5,6000
448,Kumi,Taraba State,5,6000
449,Kunchi,Kano State,5,6000
450,Kura,Kano State,5,6000
451,Kurfi,Katsina State,5,6000
452,Kusada,Katsina State,5,6000
453,Kwali,FCT,3,3000
454,Kwande,Benue State,5,6000
455,Kwami,Gombe State,5,6000
456,Kware,Sokoto State,5,6000
457,Kwaya Kusar,Borno State,5,6000
458,Lafia,Nasarawa State,5,6000
459,Lagelu,Oyo State,1,1000
460,Lagos Island,Lagos State,3,3000
461,Lagos Mainland,Lagos State,3,3000
462,Langtang South,Plateau State,5,6000
463,Langtang North,Plateau State,5,6000
464,Lapai,Niger State,5,6000
465,Lamurde,Adamawa State,5,6000
466,Lau,Taraba State,5,6000
467,Lavun,Niger State,5,6000
468,Lere,Kaduna State,5,6000
469,Logo,Benue State,5,6000
470,Lokoja,Kogi State,3,3000
471,Machina,Yobe State,5,6000
472,Madagali,Adamawa State,5,6000
473,Madobi,Kano State,5,6000
474,Mafa,Borno State,5,6000
475,Magama,Niger State,5,6000
476,Magumeri,Borno State,5,6000
477,Mai'Adua,Katsina State,5,6000
478,Maiduguri,Borno State,5,6000
479,Maigatari,Jigawa State,5,6000
480,Maiha,Adamawa State,5,6000
481,Maiyama,Kebbi State,5,6000
482,Makarfi,Kaduna State,5,6000
483,Makoda,Kano State,5,6000
484,Malam Madori,Jigawa State,5,6000
485,Malumfashi,Katsina State,5,6000
486,Mangu,Plateau State,5,6000
487,Mani,Katsina State,5,6000
488,Maradun,Zamfara State,5,6000
489,Mariga,Niger State,5,6000
490,Makurdi,Benue State,5,6000
491,Marte,Borno State,5,6000
492,Maru,Zamfara State,5,6000
493,Mashegu,Niger State,5,6000
494,Mashi,Katsina State,5,6000
495,Matazu,Katsina State,5,6000
496,Mayo Belwa,Adamawa State,5,6000
497,Mbaitoli,Imo State,5,6000
498,Mbo,Akwa Ibom State,5,6000
499,Michika,Adamawa State,5,6000
500,Miga,Jigawa State,5,6000
501,Mikang,Plateau State,5,6000
502,Minjibir,Kano State,5,6000
503,Misau,Bauchi State,5,6000
504,Moba,Ekiti State,3,3000
505,Mobbar,Borno State,5,6000
506,Mubi North,Adamawa State,5,6000
507,Mubi South,Adamawa State,5,6000
508,Mokwa,Niger State,5,6000
509,Monguno,Borno State,5,6000
510,Mopa Muro,Kogi State,3,3000
511,Moro,Kwara State,3,3000
512,Moya,Niger State,5,6000
513,Mkpat-Enin,Akwa Ibom State,5,6000
514,Municipal Area Council,FCT,3,3000
515,Musawa,Katsina State,5,6000
516,Mushin,Lagos State,3,3000
517,Nafada,Gombe State,5,6000
518,Nangere,Yobe State,5,6000
519,Nasarawa,Kano State,5,6000
520,Nasarawa,Nasarawa State,5,6000
521,Nasarawa Egon,Nasarawa State,5,6000
522,Ndokwa East,Delta State,3,3000
523,Ndokwa West,Delta State,3,3000
524,Nembe,Bayelsa State,5,6000
525,Ngala,Borno State,5,6000
526,Nganzai,Borno State,5,6000
527,Ngaski,Kebbi State,5,6000
528,Ngor Okpala,Imo State,5,6000
529,Nguru,Yobe State,5,6000
530,Ningi,Bauchi State,5,6000
531,Njaba,Imo State,5,6000
532,Njikoka,Anambra State,5,6000
533,Nkanu East,Enugu State,5,6000
534,Nkanu West,Enugu State,5,6000
535,Nkwerre,Imo State,5,6000
536,Nnewi North,Anambra State,5,6000
537,Nnewi South,Anambra State,5,6000
538,Nsit-Atai,Akwa Ibom State,5,6000
539,Nsit-Ibom,Akwa Ibom State,5,6000
540,Nsit-Ubium,Akwa Ibom State,5,6000
541,Nsukka,Enugu State,5,6000
542,Numan,Adamawa State,5,6000
543,Nwangele,Imo State,5,6000
544,Obafemi Owode,Ogun State,3,3000
545,Obanliku,Cross River State,5,6000
546,Obi,Benue State,5,6000
547,Obi,Nasarawa State,5,6000
548,Obi Ngwa,Abia State,5,6000
549,Obio/Akpor,Rivers State,5,6000
550,Obokun,Osun State,3,3000
551,Obot Akara,Akwa Ibom State,5,6000
552,Obowo,Imo State,5,6000
553,Obubra,Cross River State,5,6000
554,Obudu,Cross River State,5,6000
555,Odeda,Ogun State,3,3000
556,Odigbo,Ondo State,3,3000
557,Odogbolu,Ogun State,3,3000
558,Odo Otin,Osun State,3,3000
559,Odukpani,Cross River State,5,6000
560,Offa,Kwara State,3,3000
561,Ofu,Kogi State,3,3000
562,Ogba/Egbema/Ndoni,Rivers State,5,6000
